 salida de comprobacion de la propagacion de un acceso a memoria

ciclo acceso pend.    acceso cache
      tipo   direc.  tipo   direc.     segmentacion del acceso                        act. campos  estado CC    cache contenido  memoria
                                 A/F                                                    ET ES DA                CT ET    ES DA   contenido
  
    4 store   0000   store   0000      D0                                                N  N  N        DES0    0  XXXX  U  XX    XX
    5 load    0000                F        CM                                            N  N  N     CMPETIQ    0  XXXX  U  XX    XX
    6 load    0000                             FE                                        N  N  N        PMEF    0  XXXX  U  XX    XX
    7 load    0000                                 ME                                    N  N  N       ESPEF    0  XXXX  U  XX    XX
    8 load    0000                                     ME                                N  N  N       ESPEF    0  XXXX  U  XX    XX
    9 load    0000                                         ME                            N  N  N       ESPEF    0  XXXX  U  XX    01
   10 load    0000                                             ME                        N  N  N       ESPEF    0  XXXX  U  XX    01
   11 load    0000                                                 ME                    N  N  N       ESPEF    0  XXXX  U  XX    01
   12 load    0000                                                     ME                N  N  N       ESPEF    0  XXXX  U  XX    01
   13 load    0000                                                         ME            N  N  N       ESPEF    0  XXXX  U  XX    01
   14 load    0000                                                             ME        N  N  N       ESPEF    0  XXXX  U  XX    01
   15 load    0000                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   16 load    0000                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   17 load    0000                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   18 load    0000                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   19 load    0000                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   20 load    0000                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   21 load    0000                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   22 load    0000                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   23 load    0000                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   24 load    0000                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   25 load    0000                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   26 load    0000                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   27 load    0000                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   28 load    0000                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   29 load    0000                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   30 load    0000                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   31 load    0000                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   32 load    0000                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   33 load    0000                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   34 load    0000                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   35 load    0000                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   36 load    0000                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   37 load    0000                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   38 load    0000                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   39 load    0000                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   40 load    0000                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   41 load    0000                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   42 load    0000                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   43 load    0000                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   44 load    0000                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   45 load    0000                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   46 load    0000                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   47 load    0000                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   48 load    0000                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   49 load    0000                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   50 load    0000                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   51 load    0000                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   52 load    0000                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   53 load    0000                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   54 load    0000                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   55 load    0000                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   56 load    0000                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   57 load    0000                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   58 load    0000                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   59 load    0000                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   60 load    0000                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   61 load    0000                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   62 load    0000                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   63 load    0000                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   64 load    0000                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   65 load    0000                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   66 load    0000                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   67 load    0000                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   68 load    0000                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   69 load    0000                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   70 load    0000                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   71 load    0000                                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   72 load    0000                                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   73 load    0000                                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   74 load    0000                                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   75 load    0000                                                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   76 load    0000                                                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   77 load    0000                                                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   78 load    0000                                                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   79 load    0000                                                                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   80 load    0000                                                                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   81 load    0000                                                                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   82 load    0000                                                                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   83 load    0000                                                                                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   84 load    0000                                                                                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   85 load    0000                                                                                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   86 load    0000                                                                                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   87 load    0000                                                                                                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   88 load    0000                                                                                                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   89 load    0000                                                                                                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
   90 load    0000                                                                                                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
